# [1] = r/rv, [2] = v, [3] = rho
g =        0.7500000000
b =        0.0000000000
n = 1876
       0.1250000000	       2.1077114831	    6093.5745718132
       0.1260000000	       2.1045573621	    6004.6054021098
       0.1270000000	       2.1014128977	    5917.8514664240
       0.1280000000	       2.0982780279	    5833.2604752806
       0.1290000000	       2.0951526908	    5750.7801392045
       0.1300000000	       2.0920368248	    5670.3581687204
       0.1310000000	       2.0889303678	    5591.9422743531
       0.1320000000	       2.0858332580	    5515.4801666273
       0.1330000000	       2.0827454335	    5440.9195560680
       0.1340000000	       2.0796668326	    5368.2081531998
       0.1350000000	       2.0765965690	    5297.2936685475
       0.1360000000	       2.0735349351	    5228.1238126360
       0.1370000000	       2.0704823628	    5160.6462959900
       0.1380000000	       2.0674388027	    5094.8088291343
       0.1390000000	       2.0644042055	    5030.5591225937
       0.1400000000	       2.0613785216	    4967.8448868929
       0.1410000000	       2.0583617018	    4906.6138325568
       0.1420000000	       2.0553536967	    4846.8136701102
       0.1430000000	       2.0523544568	    4788.3921100778
       0.1440000000	       2.0493639328	    4731.2968629844
       0.1450000000	       2.0463820754	    4675.4756393549
       0.1460000000	       2.0434088350	    4620.8761497139
       0.1470000000	       2.0404441624	    4566.5257988935
       0.1480000000	       2.0374880081	    4511.1138529390
       0.1490000000	       2.0345403228	    4456.8142321122
       0.1500000000	       2.0316010570	    4403.6053166139
       0.1510000000	       2.0286701615	    4351.4654866445
       0.1520000000	       2.0257475867	    4300.3731224049
       0.1530000000	       2.0228332834	    4250.3066040957
       0.1540000000	       2.0199272021	    4201.2443119174
       0.1550000000	       2.0170292934	    4153.1646260708
       0.1560000000	       2.0141395080	    4106.0459267564
       0.1570000000	       2.0112577965	    4059.8665941750
       0.1580000000	       2.0083841095	    4014.6050085272
       0.1590000000	       2.0055183975	    3970.2395500136
       0.1600000000	       2.0026597543	    3926.7485988350
       0.1610000000	       1.9998089617	    3884.1105351918
       0.1620000000	       1.9969660160	    3842.3037392849
       0.1630000000	       1.9941308769	    3801.3065913148
       0.1640000000	       1.9913035043	    3761.0974714822
       0.1650000000	       1.9884838576	    3721.6547599877
       0.1660000000	       1.9856718967	    3682.9568370320
       0.1670000000	       1.9828675813	    3644.9820828158
       0.1680000000	       1.9800708711	    3607.7088775396
       0.1690000000	       1.9772817258	    3571.1156014042
       0.1700000000	       1.9745001051	    3535.1806346102
       0.1710000000	       1.9717259686	    3499.8823573582
       0.1720000000	       1.9689592762	    3464.1601755645
       0.1730000000	       1.9661999876	    3429.0234354726
       0.1740000000	       1.9634480623	    3394.4830178100
       0.1750000000	       1.9607034602	    3360.5284035610
       0.1760000000	       1.9579661410	    3327.1490737099
       0.1770000000	       1.9552360643	    3294.3345092412
       0.1780000000	       1.9525131898	    3262.0741911391
       0.1790000000	       1.9497974774	    3230.3576003880
       0.1800000000	       1.9470888866	    3199.1742179721
       0.1810000000	       1.9443873773	    3168.5135248759
       0.1820000000	       1.9416929090	    3138.3650020836
       0.1830000000	       1.9390054412	    3108.7181305796
       0.1840000000	       1.9363243021	    3079.5623913482
       0.1850000000	       1.9336500915	    3050.8872653738
       0.1860000000	       1.9309827760	    3022.6822336407
       0.1870000000	       1.9283223220	    2994.9367771331
       0.1880000000	       1.9256686961	    2967.6403768356
       0.1890000000	       1.9230218647	    2940.7825137322
       0.1900000000	       1.9203817945	    2914.3526688075
       0.1910000000	       1.9177484519	    2888.3403230458
       0.1920000000	       1.9151218034	    2862.7349574313
       0.1930000000	       1.9125018156	    2837.5260529484
       0.1940000000	       1.9098884549	    2812.7030905814
       0.1950000000	       1.9072816880	    2788.1063282323
       0.1960000000	       1.9046814813	    2763.5920134469
       0.1970000000	       1.9020878013	    2739.4395040930
       0.1980000000	       1.8995006145	    2715.6430715158
       0.1990000000	       1.8969198876	    2692.1969870602
       0.2000000000	       1.8943455869	    2669.0955220715
       0.2010000000	       1.8917776791	    2646.3329478946
       0.2020000000	       1.8892161306	    2623.9035358747
       0.2030000000	       1.8866609079	    2601.8015573568
       0.2040000000	       1.8841119776	    2580.0212836859
       0.2050000000	       1.8815693062	    2558.5569862073
       0.2060000000	       1.8790328602	    2537.4029362658
       0.2070000000	       1.8765022906	    2516.5534052067
       0.2080000000	       1.8739777400	    2496.0026643749
       0.2090000000	       1.8714593241	    2475.7449851156
       0.2100000000	       1.8689470148	    2455.7746387739
       0.2110000000	       1.8664407837	    2436.0858966947
       0.2120000000	       1.8639406025	    2416.6730302232
       0.2130000000	       1.8614464431	    2397.5303107044
       0.2140000000	       1.8589582770	    2378.6520094835
       0.2150000000	       1.8564760761	    2360.0323979054
       0.2160000000	       1.8539998121	    2341.6657473154
       0.2170000000	       1.8515294567	    2323.5463290584
       0.2180000000	       1.8490649817	    2305.6032453408
       0.2190000000	       1.8466063587	    2287.7607776163
       0.2200000000	       1.8441535595	    2270.1518910231
       0.2210000000	       1.8417065558	    2252.7731963871
       0.2220000000	       1.8392653194	    2235.6213045348
       0.2230000000	       1.8368298220	    2218.6928262922
       0.2240000000	       1.8344000353	    2201.9843724858
       0.2250000000	       1.8319759311	    2185.4925539417
       0.2260000000	       1.8295574810	    2169.2139814861
       0.2270000000	       1.8271446568	    2153.1452659453
       0.2280000000	       1.8247374303	    2137.2830181456
       0.2290000000	       1.8223357731	    2121.6238489131
       0.2300000000	       1.8199393248	    2106.1643690741
       0.2310000000	       1.8175483802	    2090.9011894549
       0.2320000000	       1.8151629290	    2075.8309208816
       0.2330000000	       1.8127829471	    2060.9501741806
       0.2340000000	       1.8104084102	    2046.2555601780
